s,ts_utc,begins,completed,success,unexpected,drops,in_ckpt_local,bin_present
1790147473,2026-09-23T07:11:13+00:00,2001,2009,1984,0,0,False,True
1790147474,2026-09-23T07:11:14+00:00,2000,1992,1972,0,0,False,True
1790147475,2026-09-23T07:11:15+00:00,1981,1991,1978,0,19,False,True
1790147476,2026-09-23T07:11:16+00:00,2000,1993,1975,0,0,False,True
1790147477,2026-09-23T07:11:17+00:00,1999,1999,1976,0,0,False,True
1790147478,2026-09-23T07:11:18+00:00,2001,1999,1980,0,0,False,True
1790147479,2026-09-23T07:11:19+00:00,2000,2000,1976,0,0,False,True
1790147480,2026-09-23T07:11:20+00:00,1999,1924,1905,0,0,False,True
1790147481,2026-09-23T07:11:21+00:00,1796,1865,1845,0,205,False,True
1790147482,2026-09-23T07:11:22+00:00,2000,2011,1987,0,0,False,True
1790147483,2026-09-23T07:11:23+00:00,1998,1997,1978,0,0,False,True
1790147484,2026-09-23T07:11:24+00:00,2002,2000,1987,0,0,False,True
1790147485,2026-09-23T07:11:25+00:00,2000,1987,1967,0,0,False,True
1790147486,2026-09-23T07:11:26+00:00,2000,2015,1995,0,0,False,True
1790147487,2026-09-23T07:11:27+00:00,1999,1998,1971,0,0,False,True
1790147488,2026-09-23T07:11:28+00:00,2001,1963,1939,0,0,False,True
1790147489,2026-09-23T07:11:29+00:00,2000,2032,2009,0,0,False,True
1790147490,2026-09-23T07:11:30+00:00,2000,2003,1979,0,0,False,True
1790147491,2026-09-23T07:11:31+00:00,2000,2004,1975,0,0,False,True
1790147492,2026-09-23T07:11:32+00:00,2000,2001,1983,0,0,False,True
1790147493,2026-09-23T07:11:33+00:00,2000,2000,1980,0,0,False,True
1790147494,2026-09-23T07:11:34+00:00,1999,1998,1978,0,0,False,True
1790147495,2026-09-23T07:11:35+00:00,2001,1970,1945,0,0,False,True
1790147496,2026-09-23T07:11:36+00:00,2000,1806,1781,0,0,False,True
1790147497,2026-09-23T07:11:37+00:00,1931,2148,2132,0,69,False,True
1790147498,2026-09-23T07:11:38+00:00,2000,2005,1981,0,0,False,True
1790147499,2026-09-23T07:11:39+00:00,1999,1995,1967,0,0,False,True
1790147500,2026-09-23T07:11:40+00:00,2001,1994,1964,0,0,False,True
1790147501,2026-09-23T07:11:41+00:00,2000,2009,1985,0,0,False,True
1790147502,2026-09-23T07:11:42+00:00,2000,1944,1915,0,0,False,True
1790147503,2026-09-23T07:11:43+00:00,1999,2054,2029,0,0,False,True
1790147504,2026-09-23T07:11:44+00:00,2001,2006,1982,0,0,False,True
1790147505,2026-09-23T07:11:45+00:00,2000,2002,1972,0,0,False,True
1790147506,2026-09-23T07:11:46+00:00,2000,1980,1959,0,0,False,True
1790147507,2026-09-23T07:11:47+00:00,2000,2013,1994,0,0,False,True
1790147508,2026-09-23T07:11:48+00:00,1639,1629,1605,0,361,False,True
1790147509,2026-09-23T07:11:49+00:00,2000,2001,1976,0,0,False,True
1790147510,2026-09-23T07:11:50+00:00,2000,1987,1967,0,0,False,True
1790147511,2026-09-23T07:11:51+00:00,2000,2002,1982,0,0,False,True
1790147512,2026-09-23T07:11:52+00:00,1999,2028,2005,0,0,False,True
1790147513,2026-09-23T07:11:53+00:00,2001,1957,1935,0,0,False,True
1790147514,2026-09-23T07:11:54+00:00,1999,2042,2015,0,0,False,True
1790147515,2026-09-23T07:11:55+00:00,2001,1963,1942,0,0,False,True
1790147516,2026-09-23T07:11:56+00:00,2000,2040,2018,0,0,False,True
1790147517,2026-09-23T07:11:57+00:00,2000,1992,1971,0,0,False,True
1790147518,2026-09-23T07:11:58+00:00,2000,2005,1984,0,0,False,True
1790147519,2026-09-23T07:11:59+00:00,2000,1958,1930,0,0,False,True
1790147520,2026-09-23T07:12:00+00:00,2000,2044,2024,0,0,False,True
1790147521,2026-09-23T07:12:01+00:00,2000,1991,1964,0,0,False,True
1790147522,2026-09-23T07:12:02+00:00,2000,2006,1983,0,0,False,True
1790147523,2026-09-23T07:12:03+00:00,2000,1999,1974,0,0,False,True
1790147524,2026-09-23T07:12:04+00:00,2000,2003,1978,0,0,False,True
1790147525,2026-09-23T07:12:05+00:00,2000,1993,1973,0,0,False,True
1790147526,2026-09-23T07:12:06+00:00,2000,2004,1976,0,0,False,True
1790147527,2026-09-23T07:12:07+00:00,2000,1995,1970,0,0,False,True
1790147528,2026-09-23T07:12:08+00:00,2000,2006,1980,0,0,False,True
