epoch,app_jif,app_rss_kb,pg_jif,pg_rss_kb,vk_jif,vk_rss_kb,run_jif,run_rss_kb
1789679120,5092854,138232,4046328,4580716,307176,2596964,1958334,68192720
1789679176,5139202,138316,4085815,4581292,309924,2619624,1977924,68192488
1789679233,5184079,138212,4124691,4731444,312615,2642516,2008106,71298868
1789679288,5227731,138240,4162001,4761712,315201,2664432,2038083,71343124
1789679344,5273668,138288,4201897,4729052,317931,2687796,2057610,71343988
1789679401,5318093,138316,4240470,4695656,320568,2708728,2087738,72659760
1789679457,5363544,138284,4280001,4668924,323256,2731316,2106313,72809880
1789679512,5406044,135480,4316956,4587784,325785,2752908,2135871,73886176
1789679568,5451607,135480,4356467,4578984,328480,2775604,2154392,74644040
1789679623,5494445,135516,4394010,4552252,331020,2796784,2184009,75294348
1789679680,5539565,135472,4433056,4553704,333699,2818956,2214560,76646356
1789679736,5584954,135544,4472027,4554476,336391,2841372,2232911,76661720
1789679791,5628154,135504,4509236,4554992,338986,2862656,2262981,78049456
1789679847,5673697,135496,4548248,4555632,341698,2886204,2281406,78048556
1789679902,5717041,135456,4585583,4555868,344299,2908052,2311636,79425156
1789679958,5763171,135552,4625084,4556440,347039,2931748,2330074,79424736
1789680015,5807910,135468,4664220,4704724,349719,2953848,2361453,80963876
1789680071,5853491,134480,4703546,4701920,352438,2976848,2379897,80960716
1789680126,5895992,134504,4740402,4552692,354967,2997836,2410342,82213516
1789680182,5942353,134512,4780873,4695056,357732,3021900,2428904,82186888
1789680237,5984732,134540,4818119,4601344,360261,3042404,2460424,83693752
1789680293,6030584,134536,4858025,4591800,362976,3064860,2478912,83692596
1789680348,6073861,133644,4895893,4581480,365545,3085964,2510836,85368204
1789680404,6119549,131812,4936296,4434604,368264,3104240,2529544,87720580
1789680459,6162371,121980,4973916,4439240,370809,3124736,2561347,87695300
1789680516,6208869,121964,5014372,4439584,373574,3147396,2580128,87718700
1789680571,6251541,121972,5051878,4440408,376105,3167560,2612325,89427584
1789680601,6276492,122004,5073745,4564600,377588,3179488,2622492,89426232
1789680603,6278229,121972,5075264,4581340,377689,3180364,2623251,89425112
1789680606,6280094,121932,5076902,4585504,377800,3181208,2624068,89399568
1789680608,6282020,122016,5078636,4585608,377917,3182132,2624816,89426120
1789680611,6283879,121952,5080270,4585612,378028,3183024,2625625,89425612
1789680613,6285635,121964,5081818,4589448,378135,3183840,2626297,89426400
1789680615,6287416,121960,5083394,4589380,378239,3184688,2627062,89399532
1789680618,6289289,121960,5084804,4440980,378349,3185624,2627868,89426284
1789680620,6291149,121968,5086434,4440784,378462,3186536,2628571,89426680
1789680622,6293017,121976,5088061,4440844,378574,3187364,2629382,89399560
1789680625,6294878,121908,5089690,4440700,378684,3188384,2630099,89458744
1789680627,6296815,122016,5091365,4440836,378796,3189236,2630872,89489000
1789680629,6298753,121972,5093056,4440912,378915,3190220,2631716,89491228
1789680632,6300746,121972,5094764,4440848,379032,3191020,2632423,89589088
1789680634,6302700,121972,5096464,4440828,379148,3192020,2633247,89616144
1789680636,6304633,121960,5098164,4440844,379263,3193068,2634054,89619080
1789680639,6306584,122024,5099823,4441056,379376,3194132,2634820,89592532
1789680641,6308505,121960,5101519,4440852,379490,3195052,2635639,89624184
1789680643,6310466,122012,5103214,4440924,379609,3196204,2636400,89640096
1789680646,6312400,121932,5104913,4440772,379726,3197024,2637257,89666040
1789680648,6314387,122020,5106663,4469208,379843,3198076,2638067,89914636
1789680651,6316300,121904,5108461,4478600,379959,3199000,2638837,90782420
1789680653,6317387,121972,5109488,4479444,380020,3199304,2653055,91182904
1789680656,6319132,121916,5111142,4512888,380126,3200092,2654565,91193072
1789680658,6320969,121868,5112796,4515556,380236,3201020,2655637,91221012
1789680661,6322782,121864,5114343,4515632,380341,3201728,2656615,91220608
1789680663,6324525,121904,5115779,4440904,380444,3202552,2657408,91202008
1789680665,6326437,121916,5117465,4441064,380558,3203472,2658245,91190608
1789680668,6328334,121900,5119124,4440912,380671,3204204,2658981,91217144
1789680670,6330272,121880,5120828,4440936,380785,3205116,2659838,91218796
1789680672,6332208,121884,5122510,4440728,380899,3206128,2660629,91190664
1789680675,6334097,121900,5124146,4440860,381010,3207028,2661395,91218152
1789680677,6335964,121844,5125799,4441124,381124,3207852,2662216,91218692
1789680679,6337826,121908,5127420,4440752,381234,3208716,2662946,91190532
1789680682,6339725,121872,5129114,4440936,381349,3209588,2663780,91216756
1789680684,6341640,121876,5130790,4440808,381465,3210452,2664601,91216924
1789680686,6343586,121904,5132511,4440696,381582,3211424,2665362,91217232
1789680689,6345485,121916,5134145,4440964,381695,3212148,2666179,91190616
1789680691,6347401,121904,5135828,4440788,381810,3213064,2666924,91215480
1789680694,6349339,121880,5137542,4440824,381925,3214080,2667761,91216796
1789680696,6351307,121908,5139258,4440736,382045,3214984,2668600,91190568
1789680698,6353219,121844,5140932,4440856,382156,3216044,2669326,91218200
1789680701,6355133,121916,5142607,4440860,382269,3216928,2670144,91216020
1789680703,6357077,121824,5144284,4440748,382379,3217908,2670893,91190720
1789680705,6359054,121900,5146011,4440856,382498,3218788,2671721,91190644
1789680708,6360937,121924,5147672,4467996,382612,3219772,2672546,91218112
1789680710,6362877,121900,5149418,4479228,382725,3220604,2673279,91218856
1789680712,6364747,121904,5151107,4507828,382836,3221564,2674089,91190688
1789680715,6366645,121856,5152816,4530288,382946,3222376,2674833,91214552
1789680717,6368544,121860,5154537,4555652,383062,3223260,2675629,91215704
1789680719,6370412,121856,5156203,4570528,383174,3224228,2676434,91188524
1789680722,6372275,121904,5157865,4577404,383282,3225036,2677164,91188424
1789680724,6374093,121868,5159493,4581532,383388,3225884,2677960,91213940
1789680726,6375950,121856,5161168,4585936,383500,3226792,2678744,91216316
1789680729,6377840,121872,5162864,4585832,383611,3227628,2679499,91188300
1789680731,6379654,121876,5164500,4585776,383717,3228452,2680287,91215808
1789680734,6381467,121860,5166119,4585628,383826,3229284,2681004,91216000
1789680736,6383290,121880,5167478,4439376,383933,3230120,2681802,91188304
1789680738,6385171,121856,5169146,4439440,384043,3230976,2682603,91214576
1789680741,6387056,121848,5170791,4439612,384156,3231976,2683347,91215456
1789680743,6388982,121876,5172485,4439536,384271,3232956,2684180,91214684
1789680745,6390926,121796,5174171,4439440,384383,3233868,2684918,91188336
1789680748,6392803,121856,5175798,4439572,384495,3234744,2685719,91214904
1789680750,6394739,121848,5177491,4439484,384611,3235644,2686545,91214892
1789680752,6396669,121864,5179176,4439536,384726,3236876,2687300,91188412
1789680755,6398553,121832,5180853,4439588,384837,3237780,2688108,91215292
1789680757,6400500,121772,5182537,4439700,384949,3238708,2688869,91220316
1789680759,6402431,121796,5184237,4439500,385065,3239656,2689711,91218556
1789680762,6404396,121860,5185952,4439492,385179,3240644,2690548,91196004
1789680764,6406336,121860,5187651,4439672,385296,3241684,2691302,91225332
1789680766,6408283,121816,5189352,4439444,385414,3242648,2692128,91242448
1789680769,6410165,121824,5191019,4471016,385523,3243432,2692873,91246708
1789680771,6412018,121800,5192755,4479108,385636,3244368,2693699,92056468
1789680773,6413839,121776,5194435,4479216,385744,3245332,2694523,92864340
1789680776,6415360,121776,5195835,4481204,385838,3245792,2699636,93465096
1789680778,6416953,120440,5197409,4499584,385939,3246512,2705467,94032636
1789680781,6418720,120380,5199096,4542904,386050,3247144,2709564,94621172
1789680783,6420513,120332,5200712,4568260,386159,3247940,2710643,94645088
1789680785,6422315,120300,5202334,4591364,386267,3248808,2711718,94617712
1789680788,6424127,120348,5203993,4580848,386377,3249656,2712723,94643704
1789680790,6425988,120284,5205747,4580808,386489,3250480,2713561,94644700
1789680793,6427845,120312,5207373,4581076,386597,3251344,2714301,94616528
1789680795,6429668,120312,5209011,4581096,386705,3252116,2715048,94616468
1789680797,6431416,120312,5210619,4589236,386806,3252832,2715805,94644408
1789680800,6433137,120304,5212219,4589168,386911,3253660,2716504,94644796
1789680802,6434861,120312,5213721,4589112,387012,3254576,2717267,94616528
1789680804,6436642,120308,5215313,4589300,387120,3255516,2718033,94644892
1789680807,6438416,120392,5216894,4589112,387227,3256436,2718744,94643008
1789680809,6440137,120344,5218446,4586804,387329,3257148,2719501,94616520
1789680811,6441974,120352,5219740,4437640,387442,3258072,2720248,94644296
1789680814,6443874,120348,5221418,4437804,387555,3258952,2721072,94644304
1789680816,6445809,120316,5223088,4437872,387673,3259992,2721923,94643140
1789680818,6447792,120308,5224824,4437656,387787,3260928,2722688,94616504
1789680821,6449682,120308,5226464,4437708,387898,3261788,2723493,94643684
