epoch,app_jif,app_rss_kb,pg_jif,pg_rss_kb,vk_jif,vk_rss_kb,run_jif,run_rss_kb
1789697867,193159,128028,182331,4450368,7087,77728,369,153928
1789697869,193622,128072,182795,4466036,7154,78532,715,153888
1789697871,194105,128000,183287,4466292,7225,79624,1080,154832
1789697874,194532,128068,183723,4466276,7286,80536,1404,129372
1789697876,194953,128112,184160,4495020,7346,81512,1733,157404
1789697878,195420,128068,184555,4315668,7415,82564,2084,157396
1789697880,195897,128112,185009,4315876,7486,83648,2435,133792
1789697883,196365,128028,185454,4327308,7555,84660,2780,159796
1789697885,196825,128108,185904,4316440,7625,85588,3094,163836
1789697887,196887,127996,185950,4316288,7630,85716,,
1789697889,197310,128076,186399,4364784,7694,86496,560,187572
1789697892,198621,128104,187628,4364712,7864,89320,1575,189320
1789697894,199918,128372,188838,4364836,8032,92104,2589,169496
1789697896,201235,129224,190075,4365304,8199,94940,3583,196164
1789697899,202501,129184,191262,4365356,8363,97648,4566,198376
1789697901,203815,129192,192473,4365360,8531,100368,5551,173432
1789697903,205144,129228,193727,4365376,8700,103224,6492,176136
1789697906,206457,129168,194963,4365612,8870,105956,7449,203532
1789697908,207835,129212,196241,4365668,9044,108844,8435,208456
1789697910,208334,129412,196685,4365644,9095,109604,,
1789697912,208353,129480,196743,4365660,9096,109500,32,54032
1789697915,209196,129376,197568,4378420,9203,111268,909,227484
1789697917,210863,129480,199073,4378536,9397,114740,2183,237140
1789697919,212602,129456,200642,4450876,9592,118148,3472,208900
1789697922,214306,129476,202181,4504216,9784,121732,4744,239432
1789697924,216002,129396,203730,4530776,9972,125056,6009,237984
1789697926,217644,129404,205219,4530952,10160,128384,7230,244936
1789697929,219295,129448,206744,4535100,10349,131736,8451,222972
1789697931,220966,129484,208258,4535044,10542,135164,9674,251100
1789697933,222603,129488,209666,4385772,10737,146624,10865,255072
1789697936,222886,129484,209917,4385684,10758,146980,,
1789697938,222906,129436,209984,4506508,10759,146920,41,63464
1789697940,223336,129400,210367,4388736,10766,144880,246,154776
1789697942,223957,129396,210872,4388624,10774,144948,427,155772
1789697945,224561,129408,211370,4388732,10784,144928,605,146956
1789697947,225142,129452,211850,4388736,10793,144920,777,130768
1789697949,225769,129404,212371,4388724,10803,142800,942,157688
1789697951,226338,129396,212856,4388732,10811,142728,1097,158048
1789697954,226960,129400,213358,4388780,10821,142808,1263,133056
1789697956,227568,129456,213859,4388704,10829,142812,1441,163164
1789697958,228163,129488,214345,4388784,10838,142848,1621,161644
1789697961,228228,129436,214384,4388740,10839,142844,,
1789697963,229068,129436,215110,4390744,10853,142904,405,191176
1789697965,231218,129448,216831,4390840,10879,142884,995,192572
1789697967,233230,129376,218425,4390892,10903,142788,1509,167184
1789697970,235397,129408,220156,4390920,10930,142708,2066,198044
1789697972,237509,129488,221850,4390960,10956,142812,2671,205176
1789697974,239641,129372,223543,4390948,10982,142784,3252,197616
1789697977,241826,129448,225297,4391004,11009,142776,3828,181712
1789697979,244075,129456,227117,4426388,11037,142720,4414,213988
1789697981,246307,129456,228908,4487832,11063,142636,4990,210224
1789697984,246839,129492,229293,4525204,11068,142636,,
1789697986,246841,129432,229307,4526624,11069,142712,78,133848
1789697988,248851,129448,230999,4551624,11096,143028,774,205576
1789697990,251368,129408,232817,4396812,11124,142956,1442,236956
1789697993,253842,129408,234705,4396796,11150,142900,2092,236272
1789697995,256326,129372,236581,4396876,11178,142872,2743,216724
1789697997,258796,129492,238438,4396900,11204,142936,3410,240704
1789698000,261237,129400,240312,4396964,11231,142752,4084,248000
1789698002,263529,129484,242036,4396968,11256,142776,4718,253132
1789698004,265715,129396,243705,4396936,11279,142764,5295,228796
1789698007,267465,129400,244988,4396932,11296,142792,5714,265544
1789698009,267467,129400,244988,4396992,11297,142760,,
1789698011,267708,129376,245208,4397064,11298,142828,480,162148
1789698013,268433,129408,245794,4397016,11299,142848,1228,175596
1789698016,269161,129380,246376,4397000,11299,142804,1962,158288
1789698018,269886,129392,246952,4397036,11300,142792,2681,191372
1789698020,270610,129456,247541,4397052,11300,142796,3429,203468
1789698023,271341,129396,248137,4396928,11300,142820,4150,212688
1789698025,272066,129492,248715,4396892,11302,142816,4836,201540
1789698027,272791,129404,249297,4397096,11302,142800,5544,225992
1789698030,273519,129400,249888,4396896,11302,142796,6246,245780
1789698032,273759,129456,250067,4396896,11303,142828,6437,224136
1789698034,273761,129404,250068,4397032,11303,142764,82,93028
1789698036,273761,129452,250069,4396976,11303,142752,76,101472
1789698039,275986,129456,251869,4397700,11306,142880,2928,204480
1789698041,278653,129448,253979,4547060,11307,142892,5738,252700
1789698043,281352,129400,256037,4399408,11307,142800,8426,269872
1789698046,284072,129460,258145,4399200,11308,142792,11175,272636
1789698048,286851,129440,260299,4399260,11309,142772,13947,297448
1789698050,289610,129448,262449,4399316,11309,142844,16664,336972
1789698053,292378,129476,264562,4399260,11309,142824,19347,368428
1789698055,295190,129404,266739,4399288,11310,142852,21938,358220
1789698057,297085,129440,268129,4399256,11311,142912,23526,421296
1789698060,297088,129440,268130,4399292,11311,142764,,
1789698062,298307,129484,269061,4399268,11316,143036,1805,273192
1789698064,301656,129452,271342,4399192,11316,142892,5109,285004
1789698067,305038,129432,273651,4399184,11317,142900,8317,276124
1789698069,308457,129404,275980,4399200,11317,143036,11490,335136
1789698071,311907,129436,278322,4399376,11318,142948,14836,374348
1789698074,315380,129400,280687,4399120,11319,143020,18060,380192
1789698076,318840,129436,283042,4399232,11319,143000,21228,392060
1789698078,322329,129480,285444,4399280,11319,142948,24396,418624
1789698081,325859,129412,287853,4399228,11320,142980,27504,459072
1789698083,326236,129484,288019,4399136,11320,142968,,
1789698085,326238,129456,288022,4399156,11321,143012,92,142196
1789698088,326613,129432,288463,4399768,11376,143448,411,126520
1789698090,327055,129484,288984,4399812,11435,144104,737,153960
1789698092,327477,129436,289501,4399752,11492,144800,1042,155336
1789698094,327896,129448,290016,4399740,11549,145404,1345,130720
1789698097,328303,129484,290548,4399628,11606,145892,1636,157544
1789698099,328724,129704,291109,4400108,11663,146672,1939,159728
1789698101,329143,129936,291614,4403372,11720,147280,2235,158992
1789698104,329609,130204,292147,4403452,11785,147968,2553,134612
1789698106,329996,130244,292576,4403288,11834,148480,2782,162400
1789698108,330018,130196,292631,4403392,11835,148528,30,41612
1789698110,330872,130272,293596,4403492,11945,149848,836,192548
1789698113,332200,130204,295013,4403500,12101,151472,1752,194240
1789698115,333549,130228,296457,4403588,12259,153412,2685,177052
1789698117,334928,130196,297933,4403548,12419,155136,3647,172444
1789698120,336320,130276,299431,4403532,12582,156952,4611,200072
1789698122,337659,130240,300853,4403588,12737,158684,5541,205420
1789698124,338991,130192,302277,4403580,12892,160512,6418,175928
1789698126,340305,130284,303694,4403564,13047,162268,7311,203736
1789698129,341645,130280,305118,4403560,13200,163864,8206,210836
1789698131,341736,130168,305206,4403532,13201,163980,,
1789698133,341757,130248,305248,4404400,13201,164044,97,150548
1789698136,342376,130272,306133,4404964,13238,164060,606,135244
1789698138,343039,130240,307051,4404840,13277,164108,1099,164828
1789698140,343703,130240,307967,4405032,13316,164056,1588,168612
1789698142,344361,130196,308878,4404888,13355,164072,2077,149572
1789698145,345017,130224,309772,4404732,13392,164036,2572,179060
1789698147,345670,130188,310680,4404824,13429,164080,3066,185328
1789698149,346303,130248,311573,4404960,13465,163968,3592,192164
1789698152,346953,130240,312488,4405204,13504,164080,4076,183844
1789698154,347496,130288,313221,4404796,13534,163852,4433,202520
1789698156,347498,130192,313223,4404816,13534,163920,36,58920
1789698158,348971,130272,315174,4405312,13599,164112,1422,208244
1789698161,351062,130172,317977,4586484,13681,164140,3066,213528
1789698163,353207,130192,320736,4408300,13766,164088,4716,233992
1789698165,355347,130244,323432,4408432,13850,163908,6293,218044
1789698168,357463,130168,326098,4408440,13933,164032,8038,253128
1789698170,359615,130244,328806,4408584,14017,164040,9690,270436
1789698173,361771,130200,331542,4408508,14102,164024,11261,281860
1789698175,363970,130204,334318,4408264,14185,163920,12769,260748
1789698177,365616,130284,336323,4408092,14243,163944,13784,306228
1789698180,365618,130168,336325,4408108,14243,163964,,
1789698182,366241,130284,337169,4408388,14271,164016,868,245040
1789698184,368734,130284,340165,4408544,14344,164096,2951,262184
1789698186,371246,130196,343165,4408520,14417,164080,4992,239088
1789698189,373776,130196,346195,4408460,14490,164132,6997,278076
1789698191,376309,130280,349195,4408372,14564,164088,9114,298868
1789698194,378854,130164,352206,4408420,14638,163892,11203,272964
1789698196,381406,130272,355230,4408512,14714,163864,13247,281960
1789698198,383941,130232,358247,4408416,14790,163912,15229,324904
1789698201,386491,130200,361273,4408520,14866,163840,17264,350872
1789698203,387078,130272,361821,4408208,14878,163928,,
1789698205,387079,130196,361822,4443176,14879,163836,82,88628
1789698208,387890,130196,362217,4409948,14885,163852,173,125768
1789698210,388883,130192,362675,4409996,14893,163816,269,153012
1789698212,389850,130280,363142,4410144,14901,163856,358,154608
1789698214,390809,130280,363580,4410084,14907,163724,448,126780
1789698217,391819,130200,364028,4410216,14915,163764,538,154664
1789698219,392756,130200,364463,4410336,14920,163728,628,157152
1789698221,393728,130252,364919,4412288,14928,163648,713,156696
1789698224,394708,130280,365372,4412332,14935,162312,807,130248
1789698226,395594,130248,365764,4412352,14941,162232,881,157148
1789698228,395596,130280,365768,4412364,14942,162320,,
1789698230,396930,130548,366908,4412572,14955,162200,353,184740
1789698233,399477,130452,369028,4412564,14982,162264,767,188384
1789698235,402053,130508,371027,4412364,15007,157776,1148,190012
1789698237,404536,130544,373039,4412452,15031,157612,1543,165916
1789698240,406977,130468,375018,4412472,15056,157700,1945,193700
1789698242,409353,130540,376906,4412524,15078,157732,2308,196080
1789698244,411746,130552,378830,4412604,15101,157164,2670,173004
1789698247,414163,130500,380801,4412588,15125,157104,3035,200008
1789698249,416602,130552,382752,4412424,15148,157164,3374,202692
1789698251,416677,130548,382754,4412432,15148,157168,,
1789698253,416936,130492,382961,4412516,15153,156188,201,213732
1789698256,421113,130464,384918,4412512,15177,156108,578,199616
1789698258,425282,130508,386865,4412472,15204,156140,953,226804
1789698260,429377,130508,388814,4412496,15229,156132,1344,228360
1789698263,433624,130464,390823,4412396,15256,156140,1725,231824
1789698265,437936,130456,392845,4412580,15283,155244,2103,206620
1789698267,442183,130432,394845,4412780,15308,155240,2489,236236
1789698270,446310,130536,396794,4412676,15334,155260,2862,237376
1789698272,450585,130540,398828,4412612,15360,155188,3252,224356
1789698274,453071,130492,399928,4412544,15375,154540,82,62560
1789698277,453072,130504,399930,4412560,15375,154544,12,26672
1789698279,453538,130512,399934,4413028,15376,154560,2779,243440
1789698281,454375,130492,399969,4535548,15376,154456,6517,286384
1789698283,455241,130488,399992,4527908,15376,154468,10193,308300
1789698286,456141,130544,400010,4527724,15378,154456,13801,369596
1789698288,457053,130508,400075,4566592,15378,154084,17378,430312
1789698290,457967,130544,399987,4415816,15378,154124,20940,474244
1789698293,458910,130544,399987,4415820,15379,154156,24480,536484
1789698295,459846,130544,399987,4415812,15379,154104,27970,517104
1789698297,460766,130536,399988,4415840,15379,154124,31255,630536
1789698300,460805,130536,399991,4415712,15380,153688,,
1789698302,461697,130456,399994,4415768,15381,153576,3535,392740
1789698304,464448,130464,399995,4415840,15381,153564,11110,447132
1789698307,467376,130504,399995,4415824,15382,153668,18715,514160
1789698309,470419,130504,399997,4415860,15382,153200,26398,683080
1789698311,473503,130500,399998,4415796,15383,153112,34109,713968
1789698314,476669,130488,400000,4415860,15383,153108,41798,793364
1789698316,479887,130492,400002,4415804,15383,153168,49521,869836
